input,output
set the lights to dim in the hall,"{""hall"": {""lights"": ""dim""}}"
I need to Could you set the lights in the hall to bright? and power off the lights in the bathroom and set the ac to 21°C in the bedroom thanks.,"{""bathroom"": {""lights"": ""off""}, ""bedroom"": {""ac"": ""21\u00b0C""}, ""hall"": {""lights"": ""bright""}}"
"in the dining_room, set lights to bright","{""dining_room"": {""lights"": ""bright""}}"
"Could you enable the fan in the dining_room and Hey, close the blinds in the balcony please. and in the bathroom, switch off the lights","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""lights"": ""off""}, ""dining_room"": {""fan"": ""on""}}"
"Please I want dim lights in the balcony. and Hey, make the hall lights warm. now.","{""balcony"": {""lights"": ""dim""}, ""hall"": {""lights"": ""warm""}}"
"Hey home, I want dim lights in the hall. & Could you turn on the exhaust in the bathroom? & Could you close the blinds in the balcony? thanks.","{""balcony"": {""blinds"": ""close""}, ""bathroom"": {""exhaust"": ""on""}, ""hall"": {""lights"": ""dim""}}"
Set the tv to on in the living_room.,"{""living_room"": {""tv"": ""on""}}"
Please close the balcony blinds.,"{""balcony"": {""blinds"": ""close""}}"
"Hey home, in the dining_room, set ac to 19°C and Could you set the lights in the living_room to bright? please.","{""dining_room"": {""ac"": ""19\u00b0C""}, ""living_room"": {""lights"": ""bright""}}"
"Hey home, fire up the fan in the living_room, then Hey, turn on the tv in the living_room please. please.","{""living_room"": {""fan"": ""on"", ""tv"": ""on""}}"
fire up the tv in the hall,"{""hall"": {""tv"": ""on""}}"
"Hey home, turn off the fan in the bedroom.","{""bedroom"": {""fan"": ""off""}}"
I want the geyser in the bathroom off.,"{""bathroom"": {""geyser"": ""off""}}"
"in the balcony, set lights to warm, then in the bedroom turn off the ac, then in the bathroom, set lights to dim, thanks.","{""balcony"": {""lights"": ""warm""}, ""bathroom"": {""lights"": ""dim""}, ""bedroom"": {""ac"": ""off""}}"
fire up the geyser in the bathroom,"{""bathroom"": {""geyser"": ""on""}}"
"Hey home, turn on the fan in the living_room. & Please turn on the tv in the living_room. & disable the fan in the dining_room now.","{""dining_room"": {""fan"": ""off""}, ""living_room"": {""fan"": ""on"", ""tv"": ""on""}}"
deactivate the music_system in the living_room,"{""living_room"": {""music_system"": ""off""}}"
I want bright lights in the kitchen.,"{""kitchen"": {""lights"": ""bright""}}"
"Can you disable the tv in the hall, also Kindly turn on the exhaust in the kitchen., also deactivate the fan in the kitchen thanks.","{""hall"": {""tv"": ""off""}, ""kitchen"": {""exhaust"": ""on"", ""fan"": ""off""}}"
"start the exhaust in the bathroom; Hey, set the dining_room ac to 23°C.; Kindly turn off the lights in the hall.; Please open the balcony blinds. please. now.","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""exhaust"": ""on""}, ""dining_room"": {""ac"": ""23\u00b0C""}, ""hall"": {""lights"": ""off""}}"
"Please set dining_room lights to dim., then Hey, turn on the lights in the kitchen please., then Kindly turn off the lights in the bathroom., then power on the tv in the living_room please. now.","{""bathroom"": {""lights"": ""off""}, ""dining_room"": {""lights"": ""dim""}, ""kitchen"": {""lights"": ""on""}, ""living_room"": {""tv"": ""on""}}"
"I need to Can you deactivate the lights in the bathroom?, then disable the lights in the balcony now.","{""balcony"": {""lights"": ""off""}, ""bathroom"": {""lights"": ""off""}}"
Focus mode on.,"{""bedroom"": {""lights"": ""off""}, ""living_room"": {""music_system"": ""off"", ""tv"": ""off""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Hey home, turn off the ac in the bedroom; in the study_room, switch on the computer","{""bedroom"": {""ac"": ""off""}, ""study_room"": {""computer"": ""on""}}"
Could you Can you activate the fan in the living_room? & turn the lights to dim in the balcony & adjust the lights to dim in the bathroom please.,"{""balcony"": {""lights"": ""dim""}, ""bathroom"": {""lights"": ""dim""}, ""living_room"": {""fan"": ""on""}}"
Can you fire up the fan in the dining_room & power on the fan in the living_room,"{""dining_room"": {""fan"": ""on""}, ""living_room"": {""fan"": ""on""}}"
"I need to in the bedroom, set lights to bright, also activate the fan in the dining_room, thanks.","{""bedroom"": {""lights"": ""bright""}, ""dining_room"": {""fan"": ""on""}}"
adjust the lights to bright in the balcony,"{""balcony"": {""lights"": ""bright""}}"
"Please Please open the balcony blinds., also Please turn off the geyser in the bathroom. please.","{""balcony"": {""blinds"": ""open""}, ""bathroom"": {""geyser"": ""off""}}"
"Hey, open the blinds in the bedroom please.","{""bedroom"": {""blinds"": ""open""}}"
Set the lights to off in the balcony.,"{""balcony"": {""lights"": ""off""}}"
Could you close the blinds in the bedroom?,"{""bedroom"": {""blinds"": ""close""}}"
enable the tv in the hall,"{""hall"": {""tv"": ""on""}}"
Home office setup.,"{""dining_room"": {""ac"": ""23\u00b0C""}, ""kitchen"": {""lights"": ""on""}, ""study_room"": {""computer"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"I want to in the kitchen, set lights to dim; Please set the music_system to medium in the living_room. please!","{""kitchen"": {""lights"": ""dim""}, ""living_room"": {""music_system"": ""medium""}}"
"Hey, turn on the lights in the hall please.","{""hall"": {""lights"": ""on""}}"
"Hey home, cooking mode.","{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"activate the fan in the dining_room, also Could you turn on the tv in the hall?, also open the blinds in the balcony.","{""balcony"": {""blinds"": ""open""}, ""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""on""}}"
in the dining_room turn on the lights,"{""dining_room"": {""lights"": ""on""}}"
Could you set the lights in the dining_room to dim?,"{""dining_room"": {""lights"": ""dim""}}"
Please turn on the lights in the kitchen.,"{""kitchen"": {""lights"": ""on""}}"
Set up for dinner.,"{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
open the blinds in the bedroom & start the fan in the bedroom & power on the tv in the hall thanks.,"{""bedroom"": {""blinds"": ""open"", ""fan"": ""on""}, ""hall"": {""tv"": ""on""}}"
deactivate the exhaust in the kitchen,"{""kitchen"": {""exhaust"": ""off""}}"
"Can you deactivate the tv in the hall?, then turn off the exhaust in the bathroom, then Kindly turn off the fan in the kitchen. now.","{""bathroom"": {""exhaust"": ""off""}, ""hall"": {""tv"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
turn off the fan in the kitchen and switch the bedroom lights to warm and Set the ac to off in the dining_room. thanks.,"{""bedroom"": {""lights"": ""warm""}, ""dining_room"": {""ac"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
"Could you stop the lights in the balcony, then switch off the lights in the hall thanks.","{""balcony"": {""lights"": ""off""}, ""hall"": {""lights"": ""off""}}"
"Can you I want the geyser in the bathroom on., then switch the dining_room lights to bright.","{""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""lights"": ""bright""}}"
"power off the ac in the dining_room, then Could you open the blinds in the balcony? now.","{""balcony"": {""blinds"": ""open""}, ""dining_room"": {""ac"": ""off""}}"
open the blinds in the bedroom,"{""bedroom"": {""blinds"": ""open""}}"
in the hall turn off the tv,"{""hall"": {""tv"": ""off""}}"
deactivate the computer in the study_room,"{""study_room"": {""computer"": ""off""}}"
"Hey home, switch on the computer in the study_room, then I want soft music in the living_room., then Please turn off the fan in the living_room.","{""living_room"": {""fan"": ""off"", ""music_system"": ""soft""}, ""study_room"": {""computer"": ""on""}}"
"Kindly set the lights to dim in the living_room, then in the balcony, close the blinds now.","{""balcony"": {""blinds"": ""close""}, ""living_room"": {""lights"": ""dim""}}"
switch the balcony lights to dim & Can you activate the tv in the hall?,"{""balcony"": {""lights"": ""dim""}, ""hall"": {""tv"": ""on""}}"
in the living_room turn off the fan & open the blinds in the balcony please. now.,"{""balcony"": {""blinds"": ""open""}, ""living_room"": {""fan"": ""off""}}"
"Please Could you set the lights in the living_room to dim?, also power on the fan in the kitchen, also Could you set the lights in the kitchen to warm? please. now.","{""kitchen"": {""fan"": ""on"", ""lights"": ""warm""}, ""living_room"": {""lights"": ""dim""}}"
Set up dinner mode.,"{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
"Kindly Hey, make the bathroom lights bright.; Could you turn off the lights in the living_room?","{""bathroom"": {""lights"": ""bright""}, ""living_room"": {""lights"": ""off""}}"
in the dining_room turn on the lights,"{""dining_room"": {""lights"": ""on""}}"
shut off the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""off""}}"
Could you set the lights in the bathroom to warm?,"{""bathroom"": {""lights"": ""warm""}}"
"in the balcony, open the blinds","{""balcony"": {""blinds"": ""open""}}"
I want warm lights in the hall.,"{""hall"": {""lights"": ""warm""}}"
Can you activate the tv in the living_room?,"{""living_room"": {""tv"": ""on""}}"
"Could you Please close the balcony blinds., also Hey home, turn on the lights in the living_room. please.","{""balcony"": {""blinds"": ""close""}, ""living_room"": {""lights"": ""on""}}"
"Kindly in the living_room, switch off the lights, then set the lights to bright in the balcony, then I want the lights in the hall off. please. now.","{""balcony"": {""lights"": ""bright""}, ""hall"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off""}}"
"turn off the lights in the kitchen & enable the fan in the bedroom, thanks.","{""bedroom"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""off""}}"
"Could you switch the balcony lights to dim; Hey home, turn off the exhaust in the bathroom. now.","{""balcony"": {""lights"": ""dim""}, ""bathroom"": {""exhaust"": ""off""}}"
Could you turn off the lights in the bathroom? and turn on the ac to 20°C in the dining_room.,"{""bathroom"": {""lights"": ""off""}, ""dining_room"": {""ac"": ""20\u00b0C""}}"
"Kindly fire up the fan in the living_room; Kindly turn off the lights in the living_room.; in the bathroom, switch on the geyser; Please set the ac to 22°C in the bedroom. thanks.","{""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""ac"": ""22\u00b0C""}, ""living_room"": {""fan"": ""on"", ""lights"": ""off""}}"
"Hey, make the dining_room lights bright.","{""dining_room"": {""lights"": ""bright""}}"
Activate movie mode.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
I want the geyser in the bathroom on.,"{""bathroom"": {""geyser"": ""on""}}"
power on the fan in the kitchen,"{""kitchen"": {""fan"": ""on""}}"
I want bright lights in the bedroom.,"{""bedroom"": {""lights"": ""bright""}}"
"in the bedroom, switch off the ac","{""bedroom"": {""ac"": ""off""}}"
power off the geyser in the bathroom,"{""bathroom"": {""geyser"": ""off""}}"
"in the dining_room, set lights to dim","{""dining_room"": {""lights"": ""dim""}}"
"Please Could you set the lights in the dining_room to dim? and fire up the fan in the study_room and Hey, close the blinds in the balcony please. please!","{""balcony"": {""blinds"": ""close""}, ""dining_room"": {""lights"": ""dim""}, ""study_room"": {""fan"": ""on""}}"
"I want to in the balcony, set lights to bright, also Could you turn on the fan in the dining_room?, also disable the lights in the bedroom","{""balcony"": {""lights"": ""bright""}, ""bedroom"": {""lights"": ""off""}, ""dining_room"": {""fan"": ""on""}}"
"I need to Can you deactivate the lights in the bathroom?, then I want the lights in the study_room on., then turn on the fan in the bedroom please. now.","{""bathroom"": {""lights"": ""off""}, ""bedroom"": {""fan"": ""on""}, ""study_room"": {""lights"": ""on""}}"
"I need to adjust the lights to bright in the hall & Hey home, turn on the exhaust in the bathroom. & Could you set the ac in the bedroom to 21°C?","{""bathroom"": {""exhaust"": ""on""}, ""bedroom"": {""ac"": ""21\u00b0C""}, ""hall"": {""lights"": ""bright""}}"
Set the geyser to on in the bathroom.,"{""bathroom"": {""geyser"": ""on""}}"
"Kindly Set the exhaust to off in the kitchen., also start the geyser in the bathroom, also switch the kitchen lights to warm, thanks.","{""bathroom"": {""geyser"": ""on""}, ""kitchen"": {""exhaust"": ""off"", ""lights"": ""warm""}}"
Kindly turn off the lights in the kitchen.,"{""kitchen"": {""lights"": ""off""}}"
"Kindly turn the lights to warm in the bedroom, also I want warm lights in the hall..","{""bedroom"": {""lights"": ""warm""}, ""hall"": {""lights"": ""warm""}}"
Could you Kindly turn off the lights in the kitchen. and Can you activate the tv in the hall? please. now.,"{""hall"": {""tv"": ""on""}, ""kitchen"": {""lights"": ""off""}}"
"Could you Please set the ac to 18°C in the dining_room. and Could you turn off the lights in the balcony? and Please turn on the fan in the dining_room., thanks.","{""balcony"": {""lights"": ""off""}, ""dining_room"": {""ac"": ""18\u00b0C"", ""fan"": ""on""}}"
"I need to in the hall, set lights to warm, also in the bathroom turn off the lights please. now.","{""bathroom"": {""lights"": ""off""}, ""hall"": {""lights"": ""warm""}}"
"Hey, make the dining_room lights bright.","{""dining_room"": {""lights"": ""bright""}}"
"Hey, turn off the lights in the bedroom please.","{""bedroom"": {""lights"": ""off""}}"
"Hey, switch off the tv in the hall, then I want the exhaust in the bathroom on., then fire up the geyser in the bathroom please. now.","{""bathroom"": {""exhaust"": ""on"", ""geyser"": ""on""}, ""hall"": {""tv"": ""off""}}"
"Hey, turn on the exhaust in the kitchen please.","{""kitchen"": {""exhaust"": ""on""}}"
"start the tv in the hall; switch on the fan in the dining_room; in the living_room, set lights to bright","{""dining_room"": {""fan"": ""on""}, ""hall"": {""tv"": ""on""}, ""living_room"": {""lights"": ""bright""}}"
Kindly disable the fan in the kitchen; Could you close the blinds in the bedroom?.,"{""bedroom"": {""blinds"": ""close""}, ""kitchen"": {""fan"": ""off""}}"
"stop the lights in the balcony, also switch off the lights in the hall, also Hey home, turn off the lights in the bathroom. please.","{""balcony"": {""lights"": ""off""}, ""bathroom"": {""lights"": ""off""}, ""hall"": {""lights"": ""off""}}"
turn on the fan in the kitchen,"{""kitchen"": {""fan"": ""on""}}"
"Good night, set up sleep mode.","{""bedroom"": {""ac"": ""22\u00b0C"", ""blinds"": ""close"", ""fan"": ""on"", ""lights"": ""off""}, ""hall"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""off""}, ""living_room"": {""lights"": ""off"", ""tv"": ""off""}}"
stop the lights in the hall,"{""hall"": {""lights"": ""off""}}"
"Hey, close the blinds in the bedroom please.","{""bedroom"": {""blinds"": ""close""}}"
Please open the bedroom blinds.,"{""bedroom"": {""blinds"": ""open""}}"
Could you disable the ac in the bedroom; Can you activate the geyser in the bathroom? please!,"{""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""ac"": ""off""}}"
Can you I want bright lights in the kitchen. and enable the tv in the living_room thanks.,"{""kitchen"": {""lights"": ""bright""}, ""living_room"": {""tv"": ""on""}}"
"Hey, open the blinds in the balcony please.","{""balcony"": {""blinds"": ""open""}}"
"stop the fan in the kitchen, then Please turn off the tv in the hall.","{""hall"": {""tv"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
Please turn off the lights in the balcony.,"{""balcony"": {""lights"": ""off""}}"
Set the fan to on in the kitchen.,"{""kitchen"": {""fan"": ""on""}}"
Dinner setup please.,"{""dining_room"": {""ac"": ""23\u00b0C"", ""fan"": ""on"", ""lights"": ""warm""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}, ""living_room"": {""music_system"": ""soft""}}"
"Please in the kitchen turn on the exhaust; in the dining_room, set lights to dim; adjust the lights to warm in the balcony please.","{""balcony"": {""lights"": ""warm""}, ""dining_room"": {""lights"": ""dim""}, ""kitchen"": {""exhaust"": ""on""}}"
"Hey home, Hey, turn on the fan in the dining_room please. and Kindly turn on the tv in the living_room. and shut off the fan in the living_room","{""dining_room"": {""fan"": ""on""}, ""living_room"": {""fan"": ""off"", ""tv"": ""on""}}"
Could you set the ac in the bedroom to 23°C?,"{""bedroom"": {""ac"": ""23\u00b0C""}}"
Set the exhaust to on in the bathroom.,"{""bathroom"": {""exhaust"": ""on""}}"
"Can you Please close the balcony blinds., then in the balcony turn off the lights please. now.","{""balcony"": {""blinds"": ""close"", ""lights"": ""off""}}"
I want the geyser in the bathroom on.,"{""bathroom"": {""geyser"": ""on""}}"
switch on the fan in the study_room,"{""study_room"": {""fan"": ""on""}}"
"Kindly turn on the exhaust in the bathroom.; in the hall turn on the tv; Please close the bedroom blinds., thanks.","{""bathroom"": {""exhaust"": ""on""}, ""bedroom"": {""blinds"": ""close""}, ""hall"": {""tv"": ""on""}}"
in the balcony turn off the lights,"{""balcony"": {""lights"": ""off""}}"
"Could you Hey home, turn off the lights in the living_room. & turn on the tv in the hall thanks.","{""hall"": {""tv"": ""on""}, ""living_room"": {""lights"": ""off""}}"
turn on the ac to 18°C in the bedroom,"{""bedroom"": {""ac"": ""18\u00b0C""}}"
set the ac to 25°C in the dining_room,"{""dining_room"": {""ac"": ""25\u00b0C""}}"
"Hey, make the study_room lights warm.","{""study_room"": {""lights"": ""warm""}}"
Kindly enable the tv in the hall; Can you activate the tv in the living_room? please. now.,"{""hall"": {""tv"": ""on""}, ""living_room"": {""tv"": ""on""}}"
adjust the lights to warm in the dining_room,"{""dining_room"": {""lights"": ""warm""}}"
"Could you turn on the fan in the dining_room?; I want the ac at 21°C in the dining_room.; enable the lights in the hall, thanks.","{""dining_room"": {""ac"": ""21\u00b0C"", ""fan"": ""on""}, ""hall"": {""lights"": ""on""}}"
stop the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""off""}}"
"Hey home, play medium music in the living_room, then in the dining_room, switch on the fan, then switch the balcony lights to warm, then Set the exhaust to on in the kitchen. please!","{""balcony"": {""lights"": ""warm""}, ""dining_room"": {""fan"": ""on""}, ""kitchen"": {""exhaust"": ""on""}, ""living_room"": {""music_system"": ""medium""}}"
Please set the ac to 21°C in the dining_room.,"{""dining_room"": {""ac"": ""21\u00b0C""}}"
Please close the bedroom blinds.; fire up the exhaust in the kitchen; turn on the geyser in the bathroom now.,"{""bathroom"": {""geyser"": ""on""}, ""bedroom"": {""blinds"": ""close""}, ""kitchen"": {""exhaust"": ""on""}}"
I need to in the hall turn off the tv & power off the geyser in the bathroom please.,"{""bathroom"": {""geyser"": ""off""}, ""hall"": {""tv"": ""off""}}"
"Hey, I want the tv in the living_room on.; stop the lights in the hall.","{""hall"": {""lights"": ""off""}, ""living_room"": {""tv"": ""on""}}"
"I want to deactivate the exhaust in the bathroom & turn on the computer in the study_room & Hey, turn off the ac in the dining_room please. please.","{""bathroom"": {""exhaust"": ""off""}, ""dining_room"": {""ac"": ""off""}, ""study_room"": {""computer"": ""on""}}"
in the hall turn on the tv,"{""hall"": {""tv"": ""on""}}"
"Hey, Hey home, turn on the fan in the study_room.; open the blinds in the bedroom; turn the lights to dim in the dining_room; Please set the music_system to loud in the living_room. please. now.","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""lights"": ""dim""}, ""living_room"": {""music_system"": ""loud""}, ""study_room"": {""fan"": ""on""}}"
Please Can you deactivate the lights in the hall? and fire up the exhaust in the bathroom and turn on the tv in the living_room.,"{""bathroom"": {""exhaust"": ""on""}, ""hall"": {""lights"": ""off""}, ""living_room"": {""tv"": ""on""}}"
"Could you set the ac to 20°C in the bedroom, then set the lights to dim in the bedroom, thanks.","{""bedroom"": {""ac"": ""20\u00b0C"", ""lights"": ""dim""}}"
in the kitchen turn on the fan,"{""kitchen"": {""fan"": ""on""}}"
"Hey home, turn off the lights in the hall.","{""hall"": {""lights"": ""off""}}"
"in the balcony, switch off the lights, then I want the fan in the dining_room off.","{""balcony"": {""lights"": ""off""}, ""dining_room"": {""fan"": ""off""}}"
"Can you deactivate the geyser in the bathroom?; Could you set the lights in the bathroom to dim?; Hey, make the balcony lights warm., thanks.","{""balcony"": {""lights"": ""warm""}, ""bathroom"": {""geyser"": ""off"", ""lights"": ""dim""}}"
open the blinds in the balcony,"{""balcony"": {""blinds"": ""open""}}"
Can you activate the fan in the bedroom?,"{""bedroom"": {""fan"": ""on""}}"
Kindly I want the ac in the bedroom off. & Please turn off the fan in the living_room. please. now.,"{""bedroom"": {""ac"": ""off""}, ""living_room"": {""fan"": ""off""}}"
disable the lights in the bathroom,"{""bathroom"": {""lights"": ""off""}}"
"adjust the ac to 19°C in the bedroom, then in the dining_room, switch off the lights now.","{""bedroom"": {""ac"": ""19\u00b0C""}, ""dining_room"": {""lights"": ""off""}}"
Could you turn on the lights in the dining_room?,"{""dining_room"": {""lights"": ""on""}}"
turn on the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""on""}}"
"in the study_room, switch on the lights; in the balcony, open the blinds now.","{""balcony"": {""blinds"": ""open""}, ""study_room"": {""lights"": ""on""}}"
Kindly power on the geyser in the bathroom; turn on the exhaust in the bathroom,"{""bathroom"": {""exhaust"": ""on"", ""geyser"": ""on""}}"
"I need to in the kitchen, set lights to bright; power on the fan in the bedroom now.","{""bedroom"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""bright""}}"
"Kindly switch the bathroom lights to dim, also Hey home, turn on the geyser in the bathroom., also turn off the exhaust in the bathroom","{""bathroom"": {""exhaust"": ""off"", ""geyser"": ""on"", ""lights"": ""dim""}}"
"I need to switch off the lights in the hall & in the balcony, close the blinds & activate the fan in the living_room thanks.","{""balcony"": {""blinds"": ""close""}, ""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on""}}"
switch the balcony lights to warm,"{""balcony"": {""lights"": ""warm""}}"
Time to unwind.,"{""bedroom"": {""ac"": ""23\u00b0C"", ""lights"": ""dim""}, ""living_room"": {""fan"": ""on"", ""lights"": ""warm"", ""music_system"": ""relax""}}"
I want to set the ac to 23°C in the dining_room; turn on the geyser in the bathroom; stop the lights in the balcony; Could you set the lights in the dining_room to bright?.,"{""balcony"": {""lights"": ""off""}, ""bathroom"": {""geyser"": ""on""}, ""dining_room"": {""ac"": ""23\u00b0C"", ""lights"": ""bright""}}"
"Hey home, Can you activate the tv in the living_room?, also in the hall, switch off the lights, also turn on the fan in the study_room.","{""hall"": {""lights"": ""off""}, ""living_room"": {""tv"": ""on""}, ""study_room"": {""fan"": ""on""}}"
"Hey home, Please open the bedroom blinds. & I want the lights in the dining_room on. please.","{""bedroom"": {""blinds"": ""open""}, ""dining_room"": {""lights"": ""on""}}"
Please deactivate the lights in the balcony; I want the tv in the living_room on. please!,"{""balcony"": {""lights"": ""off""}, ""living_room"": {""tv"": ""on""}}"
Kindly turn on the geyser in the bathroom.,"{""bathroom"": {""geyser"": ""on""}}"
adjust the lights to dim in the balcony,"{""balcony"": {""lights"": ""dim""}}"
Could you open the blinds in the bedroom?,"{""bedroom"": {""blinds"": ""open""}}"
"Can you Please close the balcony blinds., also turn on the fan in the dining_room now.","{""balcony"": {""blinds"": ""close""}, ""dining_room"": {""fan"": ""on""}}"
Kindly Can you deactivate the fan in the kitchen?; Set the lights to off in the balcony.,"{""balcony"": {""lights"": ""off""}, ""kitchen"": {""fan"": ""off""}}"
Kindly Please set kitchen lights to dim.; disable the lights in the balcony.,"{""balcony"": {""lights"": ""off""}, ""kitchen"": {""lights"": ""dim""}}"
I want the fan in the living_room on. and Kindly turn off the lights in the bedroom.,"{""bedroom"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on""}}"
"Can you Could you set the lights in the living_room to bright?, then Set the fan to on in the bedroom. please!","{""bedroom"": {""fan"": ""on""}, ""living_room"": {""lights"": ""bright""}}"
Please set the ac to 23°C in the dining_room.,"{""dining_room"": {""ac"": ""23\u00b0C""}}"
"Could you Hey, make the dining_room lights dim., also turn off the geyser in the bathroom please. now.","{""bathroom"": {""geyser"": ""off""}, ""dining_room"": {""lights"": ""dim""}}"
"Could you adjust the lights to warm in the bedroom; in the hall, set lights to dim, thanks.","{""bedroom"": {""lights"": ""warm""}, ""hall"": {""lights"": ""dim""}}"
"I need to Could you turn on the fan in the living_room?, also disable the lights in the hall, also set the lights to warm in the balcony.","{""balcony"": {""lights"": ""warm""}, ""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on""}}"
"Please fire up the fan in the bedroom & Can you deactivate the tv in the hall?, thanks.","{""bedroom"": {""fan"": ""on""}, ""hall"": {""tv"": ""off""}}"
Can you enable the lights in the study_room and power off the lights in the dining_room.,"{""dining_room"": {""lights"": ""off""}, ""study_room"": {""lights"": ""on""}}"
Could you fire up the lights in the hall; enable the fan in the dining_room thanks.,"{""dining_room"": {""fan"": ""on""}, ""hall"": {""lights"": ""on""}}"
"Hey, set the dining_room ac to 20°C.","{""dining_room"": {""ac"": ""20\u00b0C""}}"
"Can you Can you deactivate the music_system in the living_room? and Kindly turn off the ac in the bedroom. and Hey, turn off the fan in the dining_room please. please. now.","{""bedroom"": {""ac"": ""off""}, ""dining_room"": {""fan"": ""off""}, ""living_room"": {""music_system"": ""off""}}"
"Hey, Please open the balcony blinds.; Hey, close the blinds in the bedroom please.; fire up the computer in the study_room please!","{""balcony"": {""blinds"": ""open""}, ""bedroom"": {""blinds"": ""close""}, ""study_room"": {""computer"": ""on""}}"
"Please Hey home, turn off the fan in the bedroom. & set the lights to bright in the living_room, thanks.","{""bedroom"": {""fan"": ""off""}, ""living_room"": {""lights"": ""bright""}}"
"I need to Please turn on the fan in the study_room., also fire up the geyser in the bathroom, also set the lights to warm in the hall please. now.","{""bathroom"": {""geyser"": ""on""}, ""hall"": {""lights"": ""warm""}, ""study_room"": {""fan"": ""on""}}"
switch the kitchen lights to bright,"{""kitchen"": {""lights"": ""bright""}}"
disable the lights in the balcony,"{""balcony"": {""lights"": ""off""}}"
"Hey home, in the kitchen turn on the exhaust, then stop the fan in the kitchen, then Hey, turn on the tv in the hall please.","{""hall"": {""tv"": ""on""}, ""kitchen"": {""exhaust"": ""on"", ""fan"": ""off""}}"
Set up for cooking please.,"{""kitchen"": {""exhaust"": ""on"", ""fan"": ""on"", ""lights"": ""bright""}}"
"Hey home, turn on the fan in the kitchen.","{""kitchen"": {""fan"": ""on""}}"
Wake up mode on.,"{""bathroom"": {""geyser"": ""on"", ""lights"": ""on""}, ""bedroom"": {""blinds"": ""open"", ""fan"": ""off"", ""lights"": ""bright""}, ""kitchen"": {""exhaust"": ""on"", ""lights"": ""on""}}"
"Hey, Hey, turn on the ac in the dining_room please. & Hey, make the kitchen lights bright. & in the hall, set lights to bright now.","{""dining_room"": {""ac"": ""on""}, ""hall"": {""lights"": ""bright""}, ""kitchen"": {""lights"": ""bright""}}"
"Hey, open the blinds in the bedroom please.","{""bedroom"": {""blinds"": ""open""}}"
adjust the lights to bright in the balcony,"{""balcony"": {""lights"": ""bright""}}"
switch the bedroom lights to bright,"{""bedroom"": {""lights"": ""bright""}}"
"Kindly I want medium music in the living_room., also set the lights to dim in the study_room, also adjust the lights to warm in the kitchen, also in the bedroom, set lights to bright now.","{""bedroom"": {""lights"": ""bright""}, ""kitchen"": {""lights"": ""warm""}, ""living_room"": {""music_system"": ""medium""}, ""study_room"": {""lights"": ""dim""}}"
set the music_system to medium in the living_room,"{""living_room"": {""music_system"": ""medium""}}"
deactivate the lights in the hall,"{""hall"": {""lights"": ""off""}}"
"Hey, turn off the fan in the study_room please.","{""study_room"": {""fan"": ""off""}}"
Set everything for movie watching.,"{""hall"": {""lights"": ""off""}, ""living_room"": {""fan"": ""on"", ""lights"": ""dim"", ""tv"": ""on""}}"
activate the fan in the dining_room,"{""dining_room"": {""fan"": ""on""}}"
"I want dim lights in the bedroom. and in the study_room, switch off the lights please.","{""bedroom"": {""lights"": ""dim""}, ""study_room"": {""lights"": ""off""}}"
Could you open the blinds in the bedroom?,"{""bedroom"": {""blinds"": ""open""}}"
"Kindly turn on the fan in the bedroom & Please set the music_system to loud in the living_room. & Hey, make the bathroom lights bright. & I want warm lights in the kitchen.","{""bathroom"": {""lights"": ""bright""}, ""bedroom"": {""fan"": ""on""}, ""kitchen"": {""lights"": ""warm""}, ""living_room"": {""music_system"": ""loud""}}"
